Player Name,Team,Games Played,Games Started,Minutes Played,Goals,Assists,Shots,Shots on Goal,Fouls Committed,Offsides,Corner Kicks,Penalty Kicks Attempted,Penalty Kick Goals,Yellow Cards,Red Cards,Season,Position,Goals per Game,Assists per Game,Shots per Game,Prop SoG,Shots per Goal
Lynn Williams,WNY,19.0,19.0,1671.0,11.0,5.0,72.0,35.0,16.0,18.0,0.0,0.0,0.0,0.0,0.0,2016.0,Attacker,0.5789473684210527,0.2631578947368421,3.789473684210526,0.4861111111111111,0.3142857142857143
Kealia Ohai,HOU,20.0,18.0,1626.0,11.0,3.0,43.0,29.0,12.0,30.0,6.0,0.0,0.0,0.0,0.0,2016.0,Attacker,0.55,0.15,2.15,0.6744186046511628,0.3793103448275862
Jessica McDonald,WNY,19.0,19.0,1665.0,10.0,7.0,50.0,29.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,2016.0,Attacker,0.5263157894736842,0.3684210526315789,2.6315789473684212,0.58,0.3448275862068966
Nadia Nadim,POR,20.0,20.0,1649.0,9.0,3.0,32.0,15.0,36.0,20.0,13.0,4.0,4.0,4.0,0.0,2016.0,,0.45,0.15,1.6,0.46875,0.6
Shea Groom,KC,19.0,19.0,1660.0,8.0,0.0,50.0,25.0,28.0,18.0,0.0,1.0,0.0,1.0,1.0,2016.0,Attacker,0.42105263157894735,0.0,2.6315789473684212,0.5,0.32
Christen Press,CHI,14.0,14.0,1260.0,8.0,0.0,56.0,32.0,16.0,15.0,0.0,1.0,1.0,0.0,0.0,2016.0,Attacker,0.5714285714285714,0.0,4.0,0.5714285714285714,0.25
Manon Melis,SEA,16.0,15.0,1051.0,7.0,1.0,29.0,21.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,2016.0,,0.4375,0.0625,1.8125,0.7241379310344828,0.3333333333333333
Sofia Huerta,CHI,20.0,20.0,1742.0,7.0,2.0,39.0,16.0,21.0,13.0,1.0,0.0,0.0,2.0,0.0,2016.0,,0.35,0.1,1.95,0.41025641025641024,0.4375
Kim Little,SEA,20.0,20.0,1795.0,6.0,2.0,27.0,16.0,17.0,5.0,13.0,3.0,3.0,0.0,0.0,2016.0,,0.3,0.1,1.35,0.5925925925925926,0.375
Christine Sinclair,POR,11.0,10.0,826.0,6.0,2.0,17.0,12.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,2016.0,Attacker,0.5454545454545454,0.18181818181818182,1.5454545454545454,0.7058823529411765,0.5
