Rank,Full Team,Team,Points,Overall Wins,Overall Losses,Overall Ties,Home Wins,Home Losses,Home Ties,Away Wins,Away Losses,Away Ties,Goals For,Goals Against,Goal Difference,Season
1,Portland Thorns FC,POR,41,16,2,2,8,1,1,8,1,1,35,19,16,2016
2,Washington Spirit,WAS,39,14,2,4,7,1,2,7,1,2,30,21,9,2016
3,Chicago Red Stars,CHI,33,10,2,8,5,1,4,5,1,4,24,20,4,2016
4,Western New York Flash,WNY,32,12,6,2,6,3,1,6,3,1,40,26,14,2016
5,Seattle Reign FC,SEA,30,12,4,4,6,2,2,6,2,2,29,21,8,2016
6,FC Kansas City,KC,26,4,8,8,2,4,4,2,4,4,18,20,-2,2016
7,Sky Blue FC,NJ,26,6,8,6,3,4,3,3,4,3,24,30,-6,2016
8,Houston Dash,HOU,22,8,8,4,4,4,2,4,4,2,29,29,0,2016
9,Orlando Pride,ORL,19,10,10,0,5,5,0,5,5,0,20,30,-10,2016
10,Boston Breakers,BOS,11,4,12,4,2,6,2,2,6,2,14,47,-33,2016
1,North Carolina Courage,NC,49,18,6,0,9,3,0,9,3,0,38,22,16,2017
2,Portland Thorns FC,POR,47,20,2,2,10,1,1,10,1,1,37,20,17,2017
3,Orlando Pride,ORL,40,12,4,8,6,2,4,6,2,4,45,31,14,2017
4,Chicago Red Stars,CHI,39,14,6,4,7,3,2,7,3,2,33,30,3,2017
5,Seattle Reign FC,SEA,34,10,6,8,5,3,4,5,3,4,43,37,6,2017
6,Sky Blue FC,NJ,33,12,8,4,6,4,2,6,4,2,42,51,-9,2017
7,FC Kansas City,KC,31,8,6,10,4,3,5,4,3,5,29,31,-2,2017
8,Houston Dash,HOU,24,6,14,4,3,7,2,3,7,2,23,39,-16,2017
9,Boston Breakers,BOS,19,6,12,6,3,6,3,3,6,3,24,35,-11,2017
10,Washington Spirit,WAS,19,6,14,4,3,7,2,3,7,2,30,48,-18,2017
1,North Carolina Courage,NC,57,18,2,4,9,1,2,9,1,2,53,17,36,2018
2,Portland Thorns FC,POR,42,12,6,6,6,3,3,6,3,3,40,28,12,2018
3,Seattle Reign FC,SEA,41,14,2,8,7,1,4,7,1,4,27,19,8,2018
4,Chicago Red Stars,CHI,37,10,6,8,5,3,4,5,3,4,38,28,10,2018
5,Utah Royals FC,UTA,35,10,6,8,5,3,4,5,3,4,22,23,-1,2018
6,Houston Dash,HOU,32,10,6,8,5,3,4,5,3,4,35,39,-4,2018
7,Orlando Pride,ORL,30,6,10,8,3,5,4,3,5,4,30,37,-7,2018
8,Washington Spirit,WAS,11,4,14,6,2,7,3,2,7,3,12,35,-23,2018
9,Sky Blue FC,NJ,9,2,18,4,1,9,2,1,9,2,21,52,-31,2018
1,Washington Spirit,WAS,16,6,0,2,3,0,1,3,0,1,12,4,8,2019
2,Portland Thorns FC,POR,14,2,0,0,1,0,0,1,0,0,16,10,6,2019
3,Utah Royals FC,UTA,13,6,2,0,3,1,0,3,1,0,7,5,2,2019
4,North Carolina Courage,NC,12,2,0,6,1,0,3,1,0,3,16,8,8,2019
5,Chicago Red Stars,CHI,11,4,2,2,2,1,1,2,1,1,13,13,0,2019
6,Houston Dash,HOU,11,2,4,2,1,2,1,1,2,1,8,9,-1,2019
7,Reign FC,SEA,10,4,0,4,2,0,2,2,0,2,7,8,-1,2019
8,Sky Blue FC,NJ,2,0,6,2,0,3,1,0,3,1,5,11,-6,2019
9,Orlando Pride,ORL,1,0,8,0,0,4,0,0,4,0,2,18,-16,2019
