Player Name,Team,Games Played,Games Started,Minutes Played,Goals,Assists,Shots,Shots on Goal,Fouls Committed,Offsides,Corner Kicks,Penalty Kicks Attempted,Penalty Kick Goals,Yellow Cards,Red Cards,Season,Position
Sam Kerr,NJ,22,21,1918,17,4,91,54,10,38,0,1,0,2,0,2017,
Marta,ORL,23,21,1938,13,6,44,25,15,9,63,2,2,3,0,2017,Attacker
Megan Rapinoe,SEA,18,17,1522,12,1,56,29,31,18,76,4,4,5,0,2017,Attacker
Christen Press,CHI,23,22,1997,11,4,84,49,24,30,0,6,4,2,0,2017,Attacker
Lynn Williams,NC,21,21,1826,9,5,74,36,13,17,0,1,1,0,0,2017,Attacker
Alex Morgan,ORL,13,12,1058,9,4,39,25,14,14,1,1,1,0,0,2017,Attacker
Christine Sinclair,POR,24,24,2143,8,0,46,26,21,2,0,1,0,3,0,2017,Attacker
Jessica Fishlock,SEA,20,20,1743,7,2,33,18,20,2,1,2,1,3,0,2017,Midfielder
Jessica Fishlock,SEA,20,20,1743,7,2,33,18,20,2,1,2,1,3,0,2017,Midfielder
Natasha Dowie,BOS,23,18,1657,7,2,30,16,20,15,0,0,0,1,0,2017,
Ashley Hatch,NC,22,13,1200,7,1,43,20,21,7,1,0,0,2,0,2017,
Mallory Pugh,WAS,16,13,1203,6,1,37,21,13,6,25,1,1,0,0,2017,Attacker
Hayley Raso,POR,22,20,1784,6,3,16,9,38,10,0,0,0,5,0,2017,
Nadia Nadim,POR,16,13,1156,6,3,27,12,17,12,28,5,4,1,0,2017,
Nahomi Kawasumi,SEA,24,22,1917,6,9,26,13,3,11,16,0,0,0,0,2017,Attacker
Sofia Huerta,CHI,24,21,1966,6,4,44,25,29,15,2,0,0,0,0,2017,
Sydney Leroux,KC,23,23,2010,6,2,52,25,17,26,1,0,0,2,0,2017,
Adriana Leon,BOS,24,21,1782,6,6,38,17,35,14,23,0,0,2,0,2017,
Samantha Mewis,NC,24,23,2097,6,3,34,17,30,0,30,3,1,2,0,2017,Midfielder
Shea Groom,KC,22,21,1779,5,6,39,17,34,15,0,0,0,4,1,2017,Attacker
Maegan Kelly,KC,22,5,667,5,1,27,14,15,3,0,0,0,2,0,2017,Attacker
Cheyna Matthews,WAS,21,16,1257,5,1,29,14,15,15,0,0,0,0,0,2017,
Havana Solaun,WAS,24,20,1729,5,4,23,13,14,4,16,2,2,1,0,2017,Midfielder
Maya Hayes,NJ,22,13,1079,5,4,22,13,15,3,0,0,0,1,0,2017,
Sarah Killion,NJ,23,22,2034,5,2,16,9,21,0,1,7,4,1,0,2017,Midfielder
Rachel Daly,HOU,23,23,2023,5,2,55,28,28,15,1,0,0,3,1,2017,Attacker
Beverly Yanez,SEA,22,17,1342,4,1,19,12,29,10,0,0,0,0,0,2017,Midfielder
Lindsey Horan,POR,24,24,2125,4,2,44,20,44,11,0,0,0,4,0,2017,Midfielder
Poliana,HOU,22,17,1564,4,2,20,13,7,8,0,0,0,0,0,2017,
Chioma Ubogagu,ORL,19,16,1345,4,3,25,13,12,9,7,0,0,1,0,2017,
Julie Ertz,CHI,22,21,1932,4,3,16,7,36,1,0,0,0,3,0,2017,Midfielder
Camila,ORL,24,22,1900,4,5,34,18,33,2,64,0,0,4,0,2017,Defender
Katlyn Johnson,SEA,23,5,797,4,2,19,11,14,15,0,0,0,0,0,2017,
Francisca Ordega,WAS,14,8,921,4,3,16,9,32,15,0,0,0,2,0,2017,
Alanna Kennedy,ORL,24,23,2101,4,1,25,10,22,0,0,0,0,3,0,2017,
Debinha,NC,24,16,1471,4,2,34,15,17,0,13,0,0,0,0,2017,Midfielder
Rosie White,BOS,22,21,1794,4,1,34,14,47,4,30,0,0,8,0,2017,
Raquel Rodriguez,NJ,21,17,1456,4,0,18,8,22,1,0,0,0,2,0,2017,
Jessica McDonald,NC,19,11,1064,4,2,33,16,7,10,0,0,0,0,0,2017,Attacker
Kelley O'Hara,NJ,18,17,1561,4,3,29,18,17,9,42,2,2,3,0,2017,Defender
Kristen Hamilton,NC,16,12,1072,3,1,19,10,16,2,0,0,0,0,0,2017,Attacker
Kristie Mewis,WAS,20,16,1424,3,3,31,15,13,1,61,0,0,1,0,2017,Defender
McCall Zerboni,NC,23,23,2017,3,1,21,9,51,0,2,0,0,5,0,2017,Midfielder
Madison Tiernan,NJ,20,11,1036,3,1,20,8,18,3,0,0,0,4,0,2017,Midfielder
Rachel Hill,ORL,14,8,713,3,1,15,6,13,7,0,0,0,0,0,2017,
Vanessa DiBernardo,CHI,20,20,1707,3,2,24,14,13,3,61,0,0,0,0,2017,Midfielder
Jasmyne Spencer,ORL,20,12,1099,3,4,16,8,14,3,0,0,0,1,0,2017,Attacker
Amandine Henry,POR,21,19,1615,3,0,19,10,31,1,16,1,1,3,0,2017,
Nichelle Prince,HOU,23,18,1540,3,1,27,17,16,25,0,0,0,0,0,2017,Attacker
Emily Sonnett,POR,24,24,2160,3,1,5,4,14,2,0,0,0,2,0,2017,
Erika Tymrak,KC,12,4,396,2,1,7,4,3,0,11,0,0,0,0,2017,Midfielder
