Player Name,Team,Games Played,Games Started,Minutes Played,Goals,Assists,Shots,Shots on Goal,Fouls Committed,Offsides,Corner Kicks,Penalty Kicks Attempted,Penalty Kick Goals,Yellow Cards,Red Cards,Position
Sam Kerr,CHI,19,19,1704,16,4,88,47,9,34,0,0,0,2,0,
Lynn Williams,NC,21,20,1707,14,5,93,41,12,25,1,2,1,1,0,Attacker
Lindsey Horan,POR,22,22,1980,13,2,50,30,49,3,1,1,0,5,0,Midfielder
Rachel Daly,HOU,24,24,2155,10,2,52,23,21,21,26,2,2,4,0,Attacker
Jodie Taylor,SEA,24,24,2088,9,1,46,35,28,45,0,2,1,3,0,
Christine Sinclair,POR,24,24,2160,9,6,33,20,20,3,0,3,3,4,0,Attacker
Sofia Huerta,HOU,23,23,2032,8,6,65,32,13,2,42,2,2,1,0,
Debinha,NC,21,20,1728,8,2,40,22,13,4,26,0,0,0,0,Midfielder
Crystal Dunn,NC,22,21,1800,8,5,48,27,19,8,0,0,0,0,0,Defender
Megan Rapinoe,SEA,16,15,1315,7,6,66,37,25,9,62,3,2,2,0,Attacker
Jessica McDonald,NC,23,21,1686,7,8,58,26,12,17,0,0,0,1,0,Attacker
Tobin Heath,POR,17,14,1267,7,7,24,17,24,4,58,0,0,0,0,Attacker
Katie Stengel,UTA,23,10,1142,6,0,25,15,10,19,0,0,0,0,0,
Sydney Leroux,ORL,20,15,1431,6,2,40,24,15,14,0,0,0,2,0,Attacker
Ana-Maria Crnogorcevic,POR,20,17,1406,5,3,34,16,21,8,0,0,0,0,0,Attacker
Kealia Ohai,HOU,19,18,1438,5,4,22,13,12,11,0,0,0,1,0,Attacker
Alyssa Mautz,CHI,23,20,1715,5,3,21,13,27,7,0,0,0,3,0,
Amy Rodriguez,UTA,19,16,1301,5,1,41,19,12,15,1,0,0,0,0,Attacker
Alex Morgan,ORL,19,17,1500,5,2,38,23,16,21,0,2,1,0,0,Attacker
Marta,ORL,17,15,1310,4,4,29,18,23,3,65,2,1,2,1,Attacker
Ashley Hatch,WAS,22,22,1927,4,1,59,22,26,8,0,0,0,2,0,Attacker
Carli Lloyd,NJ,18,17,1563,4,1,51,21,36,7,0,2,1,4,1,Attacker
Veronica Latsko,HOU,21,9,972,4,2,19,12,6,6,2,0,0,0,0,
Rachel Hill,ORL,21,7,813,4,0,16,10,16,10,0,0,0,1,0,
Katlyn Johnson,NJ,19,13,1166,4,2,24,12,11,20,0,0,0,1,0,Attacker
Chioma Ubogagu,ORL,21,17,1340,4,1,21,8,21,11,1,0,0,2,0,
Yuki Nagasato,CHI,22,17,1607,4,7,30,14,25,8,2,2,1,4,0,
Imani Dorsey,NJ,13,12,1047,4,1,25,16,12,3,0,0,0,0,0,Attacker
Allie Long,SEA,19,19,1709,3,1,15,7,35,7,0,0,0,2,0,Midfielder
McCall Zerboni,NC,20,20,1800,3,1,13,8,35,0,1,0,0,1,0,Midfielder
Savannah McCaskill,NJ,20,17,1510,3,3,25,12,17,8,12,0,0,3,0,
Samantha Mewis,NC,17,11,1091,3,2,34,16,20,0,1,0,0,1,0,Midfielder
Merritt Mathias,NC,22,22,1961,3,2,15,7,28,0,0,0,0,4,0,Defender
Kristen Hamilton,NC,23,8,781,3,4,19,12,20,4,0,0,0,4,0,Attacker
Francisca Ordega,WAS,18,15,1192,3,0,26,12,32,16,0,0,0,3,0,Attacker
Vanessa DiBernardo,CHI,11,7,679,2,2,14,8,9,0,18,0,0,0,0,Midfielder
Beverly Yanez,SEA,19,14,1165,2,0,20,8,18,6,0,0,0,0,0,Midfielder
Thembi Kgatlana,HOU,16,2,376,2,3,13,5,11,7,0,0,0,1,0,Attacker
Shea Groom,NJ,21,17,1535,2,3,34,15,26,14,11,1,0,0,0,Attacker
Kyah Simon,HOU,15,11,948,2,2,21,4,14,4,3,0,0,1,0,
Sarah Killion,NJ,24,24,2131,2,2,6,3,28,0,32,0,0,3,0,Midfielder
Alanna Kennedy,ORL,20,20,1800,2,1,29,7,21,0,0,0,0,2,0,
Hayley Raso,POR,12,9,774,2,2,16,5,17,5,0,0,0,0,0,
Madison Tiernan,NJ,22,15,1242,2,1,8,4,33,8,0,0,0,4,0,Midfielder
Diana Matheson,UTA,21,18,1396,2,1,12,7,11,4,7,1,0,2,0,Midfielder
Christen Press,UTA,11,11,975,2,2,34,17,5,8,0,0,0,0,0,Attacker
Brittany Ratcliffe,UTA,10,4,366,2,0,3,3,5,2,0,0,0,2,0,Attacker
Mallory Pugh,WAS,15,13,1082,2,1,19,8,18,8,18,1,0,0,0,Attacker
Jessica Fishlock,SEA,18,18,1542,2,1,29,12,25,0,5,0,0,2,0,
Abby Erceg,NC,24,24,2160,2,2,20,5,8,0,0,0,0,1,0,Defender
Kristie Mewis,HOU,11,11,919,2,0,6,3,8,1,14,0,0,0,0,Defender
Dani Weatherholt,ORL,23,17,1658,2,0,11,8,23,2,0,0,0,1,0,
Emily Sonnett,POR,20,20,1755,1,1,3,2,19,1,0,0,0,5,0,Defender
Michele Vasconcelos,CHI,19,10,905,1,0,12,3,11,2,0,0,0,1,0,Midfielder
Linda Motlhalo,HOU,21,20,1788,1,1,11,3,5,3,0,0,0,0,0,Midfielder
Theresa Nielsen,SEA,20,18,1654,1,1,1,1,21,0,1,0,0,0,0,
Megan Oyster,SEA,20,20,1800,1,2,2,1,20,0,0,0,0,3,0,Defender
Kristen Edmonds,ORL,15,13,1091,1,0,5,2,7,2,1,0,0,1,0,Midfielder
Jasmyne Spencer,SEA,22,8,949,1,0,16,8,14,7,0,0,0,1,0,
Rosie White,CHI,11,4,376,1,1,14,9,10,2,1,0,0,1,0,Midfielder
Rumi Utsugi,SEA,15,15,1239,1,0,15,5,11,1,0,0,0,0,0,Midfielder
Nichelle Prince,HOU,20,11,1022,1,2,17,6,16,20,0,0,0,0,0,Attacker
Amber Brooks,HOU,24,24,2160,1,0,13,2,20,1,0,0,0,3,0,
Frannie Crouse,NC,1,0,27,1,0,2,1,0,0,0,0,0,0,0,Attacker
Christine Nairn,ORL,20,13,1115,1,4,9,2,3,0,39,0,0,1,0,
Toni Pressley,ORL,11,10,813,1,0,6,2,8,0,0,0,0,1,0,Defender
Danielle Colaprico,CHI,24,21,1906,1,4,6,2,33,0,77,0,0,3,0,
Taylor Comeau,HOU,23,22,2003,1,1,3,2,11,2,1,0,0,2,0,Defender
Lauren Kaskie,CHI,6,3,202,1,0,3,1,1,1,2,0,0,0,0,
Gunnhildur Yrsa Jónsdóttir,UTA,24,24,2160,1,2,29,7,40,10,0,0,0,4,0,
Ellie Carpenter,POR,17,14,1299,1,0,7,5,8,0,0,0,0,0,0,
Kelley O'Hara,UTA,8,7,517,1,0,8,5,4,6,4,0,0,0,0,Defender
Haley Hanson,HOU,19,15,1464,1,1,10,5,9,1,0,0,0,1,0,Midfielder
Arielle Ship,WAS,2,0,41,1,0,2,2,0,0,0,0,0,0,0,Attacker
Kimberly Keever,HOU,11,9,728,1,0,5,2,11,2,2,0,0,1,0,Defender
Tyler Lussi,POR,15,3,370,1,1,15,7,8,5,0,0,0,1,0,Attacker
Erika Tymrak,UTA,14,5,480,1,1,13,5,1,2,4,0,0,1,0,Midfielder
Estefanía Banini,WAS,12,11,891,1,0,16,9,5,0,5,0,0,0,0,
Kathleen Naughton,CHI,23,23,2059,1,0,3,1,14,2,0,0,0,2,0,
Joanna Lohman,WAS,13,4,429,1,0,8,3,5,0,0,0,0,1,0,Midfielder
Katherine Reynolds,POR,17,16,1419,1,0,2,1,12,0,0,0,0,0,0,Defender
Casey Short,CHI,9,8,654,1,0,5,3,6,1,0,0,0,0,0,Defender
Emily Menges,POR,15,15,1305,0,0,0,0,2,0,0,0,0,0,0,Defender
Danica Evans,ORL,5,0,49,0,0,0,0,1,0,0,0,0,0,0,Attacker
Nádia Gomes,ORL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Monica,ORL,17,15,1400,0,0,3,1,13,1,0,0,0,2,0,Defender
Savannah Jordan,HOU,10,5,414,0,1,4,1,3,4,0,0,0,0,0,Attacker
Ali Krieger,ORL,19,19,1675,0,2,7,1,12,0,3,0,0,1,0,Defender
