Player,Position
Emily Boyd,Goalkeeper
Joanna Boyles,Midfielder
Morgan Brian,Midfielder
Vanessa DiBernardo,Midfielder
Chandra Eigenberger,Defender
Brooke Elby,Defender
Julie Ertz,Midfielder
Zoey Goralski,Defender
Sarah Gorden,Defender
Summer Green,Midfielder
Stephanie McCaffrey,Attacker
Alyssa Naeher,Goalkeeper
Casey Short,Defender
Ryann Torrero,Goalkeeper
Michele Vasconcelos,Midfielder
Rosie White,Midfielder
Erin Yenney,Midfielder
Lindsay Agnew,Defender
Jane Campbell,Goalkeeper
Allysha Chapman,Defender
Taylor Comeau,Defender
Rachel Daly,Attacker
Michaela Hahn,Midfielder
Haley Hanson,Midfielder
Bianca Henninger,Goalkeeper
Savannah Jordan,Attacker
Kimberly Keever,Defender
Thembi Kgatlana,Attacker
Kristie Mewis,Defender
Linda Motlhalo,Midfielder
Kealia Ohai,Attacker
Nichelle Prince,Attacker
Sammy Jo Prudhomme,Goalkeeper
Meleana Shim,Midfielder
Janine van Wyk,Defender
Julia Aronov,Midfielder
Frannie Crouse,Attacker
Abby Dahlkemper,Defender
Michele Dalton,Goalkeeper
Debinha,Midfielder
Crystal Dunn,Defender
Sabrina D’Angelo,Goalkeeper
Elizabeth Eddy,Midfielder
Abby Erceg,Defender
Kristen Hamilton,Attacker
Tori Hansen,Defender
Jaelene Hinkle,Defender
Carlin Hudson,Midfielder
Darian Jenkins,Attacker
Yuri Kawamura,Defender
Kaleigh Kurtz,Defender
Merritt Mathias,Defender
Jessica McDonald,Attacker
Samantha Mewis,Midfielder
Heather O'Reilly,Midfielder
Denise O'Sullivan,Midfielder
Morgan Reid,Defender
Cari Roccaro,Midfielder
Katelyn Rowland,Goalkeeper
Meredith Speck,Midfielder
Sarah Teegarden,Midfielder
Lynn Williams,Attacker
Ryan Williams,Midfielder
McCall Zerboni,Midfielder
Camila,Defender
Kristen Edmonds,Midfielder
Abby Elinsky,Midfielder
Danica Evans,Attacker
Ashlyn Harris,Goalkeeper
Haley Kopmeyer,Goalkeeper
Ali Krieger,Defender
Sydney Leroux,Attacker
Marta,Attacker
Monica,Defender
Alex Morgan,Attacker
Poliana,Defender
Toni Pressley,Defender
Sarah Shimer,Goalkeeper
Elizabeth Stout,Goalkeeper
Shelina Zadorsky,Defender
Andressinha,Midfielder
Elizabeth Ball,Defender
Ana-Maria Crnogorcevic,Attacker
Adrianna Franch,Goalkeeper
Tobin Heath,Attacker
Lindsey Horan,Midfielder
Kelli Hubly,Defender
Meghan Klingenberg,Defender
Tyler Lussi,Attacker
Emily Menges,Defender
Meg Morris,Attacker
Ifeoma Onumonu,Attacker
Margaret Purce,Midfielder
Katherine Reynolds,Defender
Angela Salem,Midfielder
Christine Sinclair,Attacker
Emily Sonnett,Defender
Mallory Weber,Attacker
Sandra Yu,Midfielder
Morgan Andrews,Midfielder
Yael Averbuch,Midfielder
Michelle Betos,Goalkeeper
Kiersten Dallstream,Attacker
Jaycie Johnson,Attacker
Nahomi Kawasumi,Attacker
Alyssa Kleiner,Defender
Allie Long,Midfielder
Kristen McNabb,Defender
Megan Oyster,Defender
Megan Rapinoe,Attacker
Rumi Utsugi,Midfielder
Christen Westphal,Defender
Beverly Yanez,Midfielder
Eliza Bona,Midfielder
Caroline Casey,Goalkeeper
Gabriella Cuevas,Defender
Imani Dorsey,Attacker
Nickolette Driesse,Midfielder
Mandy Freeman,Defender
Amanda Frisbie,Defender
Christina Gibbons,Defender
Shea Groom,Attacker
Jennifer Hoy,Attacker
Katlyn Johnson,Attacker
Sarah Killion,Midfielder
Carli Lloyd,Attacker
McKenzie Meehan,Attacker
Amandine Pierre-Louis,Defender
Dominique Richardson,Defender
Raquel Rodriguez,Midfielder
Kailen Sheridan,Goalkeeper
Erica Skroski,Defender
Madison Tiernan,Midfielder
Alex Arlitt,Defender
Nicole Barnhart,Goalkeeper
Katie Bowen,Midfielder
Maegan Kelly,Attacker
Mandy Laddish,Midfielder
Taylor Lytle,Midfielder
Diana Matheson,Midfielder
Rebecca Moros,Midfielder
Kelley O'Hara,Defender
Christen Press,Attacker
Emma Jane Proctor,Goalkeeper
Brittany Ratcliffe,Attacker
Becca Ritchie,Goalkeeper
Amy Rodriguez,Attacker
Becky Sauerbrunn,Defender
Desiree Scott,Midfielder
Collette Smith,Midfielder
Abby Smith,Goalkeeper
Elise Thorsnes,Attacker
Erika Tymrak,Midfielder
Whitney Church,Defender
Zoe Clark,Defender
Meggie Dougherty Howard,Midfielder
Caprice Dydasco,Defender
Mallory Eubanks,Attacker
Cali Farquharson,Attacker
DiDi Haracic,Goalkeeper
Ashley Hatch,Attacker
Tori Huster,Defender
Estelle Johnson,Defender
Rose Lavelle,Midfielder
Joanna Lohman,Midfielder
Tiffany McCarty,Attacker
Alexa Newfield,Midfielder
Francisca Ordega,Attacker
Mallory Pugh,Attacker
Rebecca Quinn,Midfielder
Morgan Ruhl,Goalkeeper
Arielle Ship,Attacker
Havana Solaun,Midfielder
Andi Sullivan,Midfielder
Tiffany Weimer,Midfielder
Kelsey Wys,Goalkeeper
