Rank,Full Team,Team,Points,Overall Wins,Overall Losses,Overall Ties,Home Wins,Home Losses,Home Ties,Away Wins,Away Losses,Away Ties,Goals For,Goals Against,Goal Difference,Season
1,North Carolina Courage,NC,49,18,6,0,9,3,0,9,3,0,38,22,16,2017
2,Portland Thorns FC,POR,47,20,2,2,10,1,1,10,1,1,37,20,17,2017
3,Orlando Pride,ORL,40,12,4,8,6,2,4,6,2,4,45,31,14,2017
4,Chicago Red Stars,CHI,39,14,6,4,7,3,2,7,3,2,33,30,3,2017
5,Seattle Reign FC,SEA,34,10,6,8,5,3,4,5,3,4,43,37,6,2017
6,Sky Blue FC,NJ,33,12,8,4,6,4,2,6,4,2,42,51,-9,2017
7,FC Kansas City,KC,31,8,6,10,4,3,5,4,3,5,29,31,-2,2017
8,Houston Dash,HOU,24,6,14,4,3,7,2,3,7,2,23,39,-16,2017
9,Boston Breakers,BOS,19,6,12,6,3,6,3,3,6,3,24,35,-11,2017
10,Washington Spirit,WAS,19,6,14,4,3,7,2,3,7,2,30,48,-18,2017
